sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.9546218487394958,0.010507880910683012,0.875,0.015126050420168067,595.0
1,0.9200134998312521,0.04064748201438849,0.6775956284153005,0.0580492743840702,2963.0
2,0.9029835599756444,0.055994729907773384,0.5978552278820375,0.08220012177795818,4927.0
3,0.8962639109697933,0.06752136752136752,0.5852272727272727,0.09181240063593005,2516.0
4,0.9090909090909091,0.04854368932038835,0.7142857142857143,0.06363636363636363,110.0
