sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.8504201680672269,0.09601449275362318,0.8372093023255814,0.10084033613445378,595.0
1,0.8383395207559905,0.13501063075832742,0.6950354609929078,0.14309821127235908,2963.0
2,0.81408565049726,0.15069398545935228,0.5979381443298969,0.17048914146539476,4927.0
3,0.7897456279809221,0.18916631400761744,0.5359477124183006,0.20588235294117646,2516.0
4,0.7545454545454545,0.22549019607843138,0.5,0.24545454545454545,110.0
