sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.880672268907563,0.06547619047619048,0.4175824175824176,0.14453781512605043,595.0
1,0.8872764090448869,0.07328072153325817,0.4602649006622517,0.12082348970637867,2963.0
2,0.8759894459102903,0.08184490165046349,0.49404761904761907,0.12522833367160544,4927.0
3,0.8748012718600954,0.09561752988047809,0.3852140077821012,0.14864864864864866,2516.0
4,0.8090909090909091,0.10989010989010989,0.5789473684210527,0.16363636363636364,110.0
