sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.9310924369747899,0.04006968641114982,0.8571428571428571,0.043697478991596636,595.0
1,0.9115761052986837,0.06482130343377715,0.7064220183486238,0.07323658454269322,2963.0
2,0.8792368581286787,0.09747827929646112,0.6490384615384616,0.10817941952506596,4927.0
3,0.8318759936406995,0.14069718605627887,0.6518518518518519,0.1518282988871224,2516.0
4,0.7363636363636363,0.2616822429906542,0.3333333333333333,0.2727272727272727,110.0
