sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.8504201680672269,0.05928853754940711,0.6629213483146067,0.10084033613445378,595.0
1,0.8305771177860277,0.12390087929656275,0.4164859002169197,0.19541005737428283,2963.0
2,0.7785670793586361,0.2011937329022631,0.31125827814569534,0.2908463568094175,4927.0
3,0.7853736089030207,0.19979969954932397,0.27167630057803466,0.3088235294117647,2516.0
4,0.7454545454545455,0.2891566265060241,0.14814814814814814,0.42727272727272725,110.0
