sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.6033613445378151,0.47743467933491684,0.20114942528735633,0.5714285714285714,595.0
1,0.6500168747890651,0.37207207207207205,0.2839838492597577,0.4583192710091124,2963.0
2,0.6375076111223869,0.3893758300132802,0.27538726333907054,0.46843921250253706,4927.0
3,0.681637519872814,0.32728215767634855,0.2891156462585034,0.41693163751987283,2516.0
4,0.6727272727272727,0.35714285714285715,0.23076923076923078,0.45454545454545453,110.0
