sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.8773109243697479,0.08928571428571429,0.3076923076923077,0.1815126050420168,595.0
1,0.850489368882889,0.12025554302893648,0.40728476821192056,0.16841039487006412,2963.0
2,0.83945605845342,0.1315848971286457,0.4146825396825397,0.1779987822204181,4927.0
3,0.8382352941176471,0.14342629482071714,0.3229571984435798,0.19793322734499205,2516.0
4,0.8,0.16483516483516483,0.3684210526315789,0.24545454545454545,110.0
