sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.6386554621848739,0.38954869358669836,0.29310344827586204,0.4823529411764706,595.0
1,0.6719541005737428,0.3225225225225225,0.3445491251682369,0.40600742490718866,2963.0
2,0.669575806778973,0.33094289508632135,0.3287435456110155,0.4112035721534402,4927.0
3,0.690779014308426,0.2894190871369295,0.3741496598639456,0.36804451510333863,2516.0
4,0.7181818181818181,0.2857142857142857,0.2692307692307692,0.39090909090909093,110.0
