sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.8319327731092437,0.13405797101449277,0.6046511627906976,0.15294117647058825,595.0
1,0.8272021599730003,0.1435152374202693,0.7588652482269503,0.1481606479919001,2963.0
2,0.8134767607063121,0.14430491297642653,0.6804123711340206,0.1581083823827887,4927.0
3,0.865262321144674,0.09225560727888278,0.7908496732026143,0.09936406995230525,2516.0
4,0.9090909090909091,0.0196078431372549,1.0,0.01818181818181818,110.0
