sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.6134453781512605,0.37477148080438755,0.5208333333333334,0.3831932773109244,595.0
1,0.6736415794802565,0.3276611151339609,0.30845771144278605,0.352345595680054,2963.0
2,0.6697787700426223,0.3296943231441048,0.3371757925072046,0.3531560787497463,4927.0
3,0.6864069952305246,0.31565440547476475,0.28651685393258425,0.34379968203497613,2516.0
4,0.6181818181818182,0.4077669902912621,0.0,0.44545454545454544,110.0
