sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.9277310924369748,0.04903677758318739,0.625,0.06218487394957983,595.0
1,0.8727640904488694,0.09964028776978417,0.546448087431694,0.12149848126898413,2963.0
2,0.809011568906028,0.16622749231444883,0.4932975871313673,0.1920032474122184,4927.0
3,0.7941176470588235,0.1764957264957265,0.5965909090909091,0.19236883942766295,2516.0
4,0.8454545454545455,0.1262135922330097,0.5714285714285714,0.14545454545454545,110.0
