sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.8487394957983193,0.05928853754940711,0.6741573033707865,0.09915966386554621,595.0
1,0.8292271346608168,0.11270983213429256,0.48590021691973967,0.1751603104961188,2963.0
2,0.7903389486502943,0.17184779905496145,0.37748344370860926,0.25471889587984575,4927.0
3,0.7957074721780604,0.16825237856785177,0.34296724470134876,0.2690779014308426,2516.0
4,0.7454545454545455,0.27710843373493976,0.18518518518518517,0.4090909090909091,110.0
