sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.9092436974789916,0.06468531468531469,0.7391304347826086,0.07226890756302522,595.0
1,0.9139385757678029,0.06281050390347764,0.5379310344827586,0.08234897063786703,2963.0
2,0.9244976659224681,0.052786540483701364,0.7034883720930233,0.0612949056220824,4927.0
3,0.9201112877583466,0.05100334448160535,0.6370967741935484,0.0663751987281399,2516.0
4,0.9545454545454546,0.027777777777777776,1.0,0.02727272727272727,110.0
