sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.9378151260504202,0.008944543828264758,0.8888888888888888,0.015126050420168067,595.0
1,0.9372257846776916,0.024190679473496977,0.7763157894736842,0.03442456969287884,2963.0
2,0.941140653541709,0.038859556494192184,0.5520833333333334,0.05480008118530546,4927.0
3,0.9360095389507154,0.03432588916459884,0.7959183673469388,0.040937996820349765,2516.0
4,0.9181818181818182,0.019417475728155338,1.0,0.01818181818181818,110.0
