sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.8302521008403362,0.12248628884826325,0.7083333333333334,0.1361344537815126,595.0
1,0.7914276071549106,0.1875452570601014,0.4975124378109453,0.20890988862639218,2963.0
2,0.7915567282321899,0.18580786026200874,0.5072046109510087,0.20742845544956362,4927.0
3,0.8108108108108109,0.1680923866552609,0.46629213483146065,0.19395866454689983,2516.0
4,0.7636363636363637,0.21359223300970873,0.5714285714285714,0.22727272727272727,110.0
