sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.8672268907563025,0.07102803738317758,0.6833333333333333,0.0957983193277311,595.0
1,0.8569017887276409,0.10852713178294573,0.5118110236220472,0.14107323658454268,2963.0
2,0.7659833570123807,0.19938577840774865,0.4452449567723343,0.2494418510249645,4927.0
3,0.7571542130365659,0.2129455909943715,0.4088541666666667,0.2706677265500795,2516.0
4,0.7,0.24210526315789474,0.6666666666666666,0.2545454545454545,110.0
