sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.6453781512605042,0.4085510688836104,0.22413793103448276,0.5159663865546219,595.0
1,0.6689166385420182,0.33693693693693694,0.3135935397039031,0.424569692878839,2963.0
2,0.6649076517150396,0.3434262948207171,0.3080895008605852,0.4256139638725391,4927.0
3,0.6983306836248012,0.2925311203319502,0.33163265306122447,0.3803656597774245,2516.0
4,0.7181818181818181,0.2857142857142857,0.2692307692307692,0.39090909090909093,110.0
