sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.957983193277311,0.014010507880910683,0.7083333333333334,0.025210084033613446,595.0
1,0.9223759703003712,0.03884892086330935,0.6666666666666666,0.057036787040162,2963.0
2,0.9096813476760707,0.04589371980676329,0.6327077747989276,0.0702252892226507,4927.0
3,0.9109697933227345,0.05,0.6079545454545454,0.0739268680445151,2516.0
4,0.9454545454545454,0.009708737864077669,0.7142857142857143,0.02727272727272727,110.0
