sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.8756302521008403,0.06884057971014493,0.8372093023255814,0.07563025210084033,595.0
1,0.9014512318596017,0.06236711552090716,0.8226950354609929,0.06783665204184948,2963.0
2,0.8696975847371625,0.08041418814716898,0.7139175257731959,0.09661051349705703,4927.0
3,0.870429252782194,0.09733389758781211,0.6274509803921569,0.11406995230524643,2516.0
4,0.7909090909090909,0.1568627450980392,0.875,0.15454545454545454,110.0
