sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.8756302521008403,0.08531746031746032,0.34065934065934067,0.173109243697479,595.0
1,0.872089098886264,0.09733183013904548,0.3973509933774834,0.14883563955450557,2963.0
2,0.8694946214735133,0.10038435451051322,0.3948412698412698,0.15201948447331032,4927.0
3,0.8664546899841018,0.1133244798583444,0.311284046692607,0.1720985691573927,2516.0
4,0.8181818181818182,0.12087912087912088,0.47368421052631576,0.19090909090909092,110.0
