sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.9294117647058824,0.023255813953488372,0.8055555555555556,0.03361344537815126,595.0
1,0.939250759365508,0.029882604055496264,0.631578947368421,0.04724940938238272,2963.0
2,0.9543332656789121,0.027877507919746566,0.484375,0.04688451390298356,4927.0
3,0.9570747217806042,0.01695616211745244,0.6836734693877551,0.028616852146263912,2516.0
4,0.9181818181818182,0.02912621359223301,0.8571428571428571,0.03636363636363636,110.0
