sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.8840336134453781,0.05952380952380952,0.42857142857142855,0.13781512605042018,595.0
1,0.885926425919676,0.07290492296129275,0.4768211920529801,0.11879851501856227,2963.0
2,0.8782220418104323,0.07958399276509157,0.49206349206349204,0.12340166429876193,4927.0
3,0.8748012718600954,0.09428950863213811,0.3968871595330739,0.14626391096979333,2516.0
4,0.8090909090909091,0.10989010989010989,0.5789473684210527,0.16363636363636364,110.0
