sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.9445378151260504,0.02972027972027972,0.6956521739130435,0.040336134453781515,595.0
1,0.9473506581167735,0.025195173882185947,0.5862068965517241,0.044211947350658115,2963.0
2,0.9590014207428456,0.016403785488958992,0.7209302325581395,0.025573371219809213,4927.0
3,0.935214626391097,0.034280936454849496,0.6532258064516129,0.049682034976152624,2516.0
4,0.9363636363636364,0.046296296296296294,1.0,0.045454545454545456,110.0
