sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.853781512605042,0.05533596837944664,0.6629213483146067,0.09747899159663866,595.0
1,0.835302058724266,0.11590727418065548,0.42950108459869846,0.18663516706041175,2963.0
2,0.7866856099046072,0.18652076597861228,0.3322295805739514,0.2750152222447737,4927.0
3,0.7889507154213037,0.19228843264897347,0.2832369942196532,0.3004769475357711,2516.0
4,0.7454545454545455,0.2891566265060241,0.14814814814814814,0.42727272727272725,110.0
