sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.8773109243697479,0.04672897196261682,0.8,0.06218487394957983,595.0
1,0.8785015187310159,0.07862679955703211,0.5787401574803149,0.1079986500168748,2963.0
2,0.7893241323320479,0.16040633120718167,0.5172910662824207,0.20580474934036938,4927.0
3,0.7746422893481717,0.1796435272045028,0.4791666666666667,0.23171701112877582,2516.0
4,0.7727272727272727,0.15789473684210525,0.6666666666666666,0.18181818181818182,110.0
