sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.6084033613445378,0.47743467933491684,0.1839080459770115,0.5764705882352941,595.0
1,0.6506918663516706,0.36666666666666664,0.297442799461642,0.4508943638204522,2963.0
2,0.6413639131317231,0.38220451527224436,0.2822719449225473,0.46133549827481224,4927.0
3,0.6800476947535771,0.3262448132780083,0.29931972789115646,0.41375198728139906,2516.0
4,0.6818181818181818,0.34523809523809523,0.23076923076923078,0.44545454545454544,110.0
