sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.7932773109243697,0.17184643510054845,0.6041666666666666,0.1899159663865546,595.0
1,0.7748903138710767,0.2045619116582187,0.5074626865671642,0.2240971987850152,2963.0
2,0.7576618632027603,0.2294759825327511,0.41210374639769454,0.25471889587984575,4927.0
3,0.7424483306836248,0.24935842600513258,0.3651685393258427,0.2766295707472178,2516.0
4,0.7090909090909091,0.3106796116504854,0.0,0.35454545454545455,110.0
