sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.5932773109243697,0.5083135391923991,0.16091954022988506,0.6050420168067226,595.0
1,0.6101923725953425,0.44054054054054054,0.23822341857335128,0.5210934863314208,2963.0
2,0.6086868276841891,0.43399734395750333,0.25301204819277107,0.5078140856504972,4927.0
3,0.6494435612082671,0.3677385892116183,0.2942176870748299,0.4467408585055644,2516.0
4,0.6363636363636364,0.42857142857142855,0.15384615384615385,0.5272727272727272,110.0
