sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.8991596638655462,0.08041958041958042,0.6086956521739131,0.09243697478991597,595.0
1,0.8970637867026662,0.07523066004258339,0.6413793103448275,0.0890988862639217,2963.0
2,0.9198295108585346,0.0544689800210305,0.7906976744186046,0.05987416277653745,4927.0
3,0.9133545310015898,0.05309364548494983,0.7338709677419355,0.06359300476947535,2516.0
4,0.9181818181818182,0.06481481481481481,1.0,0.06363636363636363,110.0
