sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.8285714285714286,0.09288537549407115,0.6179775280898876,0.1361344537815126,595.0
1,0.8130273371582856,0.1386890487609912,0.4490238611713666,0.20283496456294298,2963.0
2,0.7700426222853664,0.19572245710022382,0.3818984547461369,0.27339151613557944,4927.0
3,0.775039745627981,0.19328993490235352,0.3468208092485549,0.28815580286168524,2516.0
4,0.7454545454545455,0.2891566265060241,0.14814814814814814,0.42727272727272725,110.0
