sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.9411764705882353,0.005366726296958855,0.8888888888888888,0.011764705882352941,595.0
1,0.9456631792102599,0.014585556741373178,0.7894736842105263,0.02463719203509956,2963.0
2,0.955754008524457,0.022386483632523758,0.5833333333333334,0.037751167038765986,4927.0
3,0.9443561208267091,0.024400330851943756,0.826530612244898,0.030206677265500796,2516.0
4,0.9454545454545454,0.009708737864077669,0.7142857142857143,0.02727272727272727,110.0
