sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.9949579831932773,0.005042016806722689,0.0,0.005042016806722689,595.0
1,0.9942625717178535,0.0054017555705604325,1.0,0.005399932500843739,2963.0
2,0.9892429470265882,0.007938123346224303,1.0,0.0079155672823219,4927.0
3,0.9864864864864865,0.006808169803764518,0.8947368421052632,0.007551669316375199,2516.0
4,0.9181818181818182,0.0,0.9,0.00909090909090909,110.0
