sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.8235294117647058,0.14484126984126985,0.3516483516483517,0.2218487394957983,595.0
1,0.839014512318596,0.133032694475761,0.40728476821192056,0.17988525143435707,2963.0
2,0.8406738380353156,0.12502826136106715,0.4603174603174603,0.16744469251065558,4927.0
3,0.845389507154213,0.12926073483842407,0.377431906614786,0.17965023847376788,2516.0
4,0.8454545454545455,0.12087912087912088,0.3157894736842105,0.21818181818181817,110.0
