sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.6470588235294118,0.3382084095063985,0.5208333333333334,0.3495798319327731,595.0
1,0.6746540668241647,0.3269370021723389,0.3034825870646766,0.35200809989875126,2963.0
2,0.6795210066977877,0.3181222707423581,0.3515850144092219,0.34138420945808806,4927.0
3,0.6891891891891891,0.3092386655260907,0.33146067415730335,0.33465818759936405,2516.0
4,0.6727272727272727,0.34951456310679613,0.0,0.39090909090909093,110.0
