sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.8453781512605042,0.11775362318840579,0.627906976744186,0.1361344537815126,595.0
1,0.8602767465406682,0.1073706591070163,0.7872340425531915,0.11238609517381033,2963.0
2,0.8358027197077329,0.11588455606961885,0.729381443298969,0.12806981936269535,4927.0
3,0.8863275039745628,0.06855691917054592,0.8104575163398693,0.0759141494435612,2516.0
4,0.9181818181818182,0.00980392156862745,1.0,0.00909090909090909,110.0
