sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.8352941176470589,0.08498023715415019,0.6179775280898876,0.12941176470588237,595.0
1,0.8106648666891664,0.14708233413269384,0.41865509761388287,0.21464731690853864,2963.0
2,0.7688248427034706,0.2101467296692365,0.32450331125827814,0.2957174751370002,4927.0
3,0.7734499205087441,0.21582373560340512,0.2678227360308285,0.3223370429252782,2516.0
4,0.7363636363636363,0.30120481927710846,0.14814814814814814,0.43636363636363634,110.0
