sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.6302521008403361,0.4180522565320665,0.25287356321839083,0.5142857142857142,595.0
1,0.6574417819777253,0.3545045045045045,0.30686406460296095,0.4394195072561593,2963.0
2,0.6446113253501117,0.3758300132802125,0.2891566265060241,0.45484067383803534,4927.0
3,0.6764705882352942,0.3210580912863071,0.33163265306122447,0.40222575516693165,2516.0
4,0.6909090909090909,0.3333333333333333,0.23076923076923078,0.43636363636363634,110.0
