sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.8789915966386554,0.08531746031746032,0.31868131868131866,0.17647058823529413,595.0
1,0.8508268646641917,0.11987974445697107,0.40728476821192056,0.16807289908876138,2963.0
2,0.8398619849807185,0.13090662446303414,0.4166666666666667,0.177186929165821,4927.0
3,0.8390302066772655,0.14209827357237717,0.32684824902723736,0.19634340222575516,2516.0
4,0.8,0.16483516483516483,0.3684210526315789,0.24545454545454545,110.0
