sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.8218487394957983,0.1316270566727605,0.7083333333333334,0.14453781512605043,595.0
1,0.7840026999662504,0.19659666908037654,0.48258706467661694,0.21835977050286873,2963.0
2,0.7848589405317637,0.19541484716157206,0.4755043227665706,0.218591434950274,4927.0
3,0.798489666136725,0.18434559452523525,0.42696629213483145,0.2118441971383148,2516.0
4,0.7636363636363637,0.22330097087378642,0.42857142857142855,0.24545454545454545,110.0
