sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.957983193277311,0.014010507880910683,0.7083333333333334,0.025210084033613446,595.0
1,0.9156260546743166,0.04712230215827338,0.6502732240437158,0.06581167735403308,2963.0
2,0.9048102293484879,0.052481335090030744,0.6166219839142091,0.07753196671402476,4927.0
3,0.904610492845787,0.057692307692307696,0.5965909090909091,0.08187599364069953,2516.0
4,0.9363636363636364,0.019417475728155338,0.7142857142857143,0.03636363636363636,110.0
