sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.9243697478991597,0.03041144901610018,0.7777777777777778,0.04201680672268908,595.0
1,0.9368882888963888,0.033084311632870865,0.618421052631579,0.05096186297671279,2963.0
2,0.9571747513700021,0.026187961985216474,0.453125,0.046478587375685,4927.0
3,0.9531001589825119,0.0206782464846981,0.6938775510204082,0.03179650238473768,2516.0
4,0.9181818181818182,0.02912621359223301,0.8571428571428571,0.03636363636363636,110.0
