sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.8689075630252101,0.0691588785046729,0.6833333333333333,0.09411764705882353,595.0
1,0.8548768140398245,0.11000369139904023,0.5196850393700787,0.14174822814714816,2963.0
2,0.7720722549218592,0.1913536498936924,0.4510086455331412,0.24172924700629186,4927.0
3,0.7631160572337043,0.2026266416510319,0.4270833333333333,0.2591414944356121,2516.0
4,0.7181818181818181,0.22105263157894736,0.6666666666666666,0.23636363636363636,110.0
