sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.8689075630252101,0.043478260869565216,0.6292134831460674,0.09243697478991597,595.0
1,0.835302058724266,0.11630695443645084,0.42733188720173537,0.18731015862301723,2963.0
2,0.7874974629592044,0.19423029097239491,0.293598233995585,0.28841079764562616,4927.0
3,0.787758346581876,0.19679519278918378,0.27167630057803466,0.3064387917329094,2516.0
4,0.7272727272727273,0.3253012048192771,0.1111111111111111,0.4636363636363636,110.0
