sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.6436974789915967,0.3990498812351544,0.25287356321839083,0.5008403361344538,595.0
1,0.6719541005737428,0.3225225225225225,0.3445491251682369,0.40600742490718866,2963.0
2,0.6799269332250862,0.31925630810092964,0.3227194492254733,0.40369393139841686,4927.0
3,0.7034976152623211,0.27800829875518673,0.35714285714285715,0.36327503974562797,2516.0
4,0.7363636363636363,0.2619047619047619,0.2692307692307692,0.37272727272727274,110.0
