sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.9865546218487395,0.011804384485666104,0.5,0.013445378151260505,595.0
1,0.9807627404657442,0.010910330719399931,0.8333333333333334,0.012487343908201148,2963.0
2,0.9713821798254516,0.01466033450340698,0.8333333333333334,0.017251877410188757,4927.0
3,0.9582670906200318,0.020773930753564155,0.8852459016393442,0.023052464228934817,2516.0
4,0.9454545454545454,0.018867924528301886,1.0,0.01818181818181818,110.0
