sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.8084033613445378,0.15217391304347827,0.6976744186046512,0.16302521008403362,595.0
1,0.8241646979412758,0.15450035435861093,0.6028368794326241,0.16604792440094499,2963.0
2,0.8031256342601989,0.16765807446574135,0.538659793814433,0.1907854678303227,4927.0
3,0.8227344992050875,0.15446466356326705,0.5294117647058824,0.17368839427662958,2516.0
4,0.7272727272727273,0.24509803921568626,0.625,0.2545454545454545,110.0
