sensitive_feature_0,accuracy,false positive rate,false negative rate,selection rate,count
0,0.8823529411764706,0.07142857142857142,0.37362637362637363,0.15630252100840336,595.0
1,0.8785015187310159,0.08680947012401354,0.4271523178807947,0.13634829564630443,2963.0
2,0.8745687030647453,0.09111462808048836,0.42658730158730157,0.1404505784453014,4927.0
3,0.8751987281399046,0.09738822487826472,0.3657587548638132,0.15222575516693163,2516.0
4,0.8181818181818182,0.10989010989010989,0.5263157894736842,0.17272727272727273,110.0
